Facies,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,FaciesLabels
2,15_9_C,2774.5,98.36,0.642,-0.1,18.685,2.9,1,1.0,CSiS
2,15_9_C,2775.0,97.57,0.631,7.9,16.745,3.2,1,0.9840000000000001,CSiS
2,15_9_C,2775.5,98.41,0.615,12.8,14.105,3.2,1,0.968,CSiS
2,15_9_C,2776.0,85.92,0.597,13.0,13.385,3.4,1,0.9520000000000001,CSiS
2,15_9_C,2776.5,83.16,0.5920000000000001,12.3,13.345,3.4,1,0.935,CSiS
2,15_9_C,2777.0,82.56,0.599,12.9,13.105,3.5,1,0.919,CSiS
2,15_9_C,2777.5,83.12,0.611,13.2,14.0,3.3,1,0.903,CSiS
2,15_9_C,2778.0,84.26,0.62,12.8,13.685,3.3,1,0.887,CSiS
2,15_9_C,2778.5,86.29,0.627,13.2,13.92,3.2,1,0.871,CSiS
2,15_9_C,2779.0,80.95,0.629,13.0,13.975,3.2,1,0.855,CSiS
2,15_9_C,2779.5,79.07,0.629,13.0,14.235,3.2,1,0.8390000000000001,CSiS
2,15_9_C,2780.0,75.31,0.626,11.4,13.17,3.2,1,0.823,CSiS
2,15_9_C,2780.5,69.3,0.625,10.1,12.32,3.0,1,0.8059999999999999,CSiS
2,15_9_C,2781.0,69.16,0.626,9.0,11.805,3.0,1,0.79,CSiS
2,15_9_C,2781.5,69.03,0.624,10.0,11.72,3.2,1,0.774,CSiS
2,15_9_C,2782.0,64.95,0.622,10.1,11.75,3.4,1,0.758,CSiS
2,15_9_C,2782.5,78.95,0.607,12.0,12.155,3.4,1,0.742,CSiS
2,15_9_C,2783.0,82.36,0.58,11.7,12.955,3.2,1,0.726,CSiS
2,15_9_C,2783.5,80.27,0.5429999999999999,11.1,12.865,3.1,1,0.71,CSiS
2,15_9_C,2784.0,78.87,0.507,8.5,12.23,2.9,1,0.6940000000000001,CSiS
